2018-11-20 06:27:29.4670 Info Loading Cardigann definition /app/Jackett/Definitions/btstornet.yml 
2018-11-20 06:27:29.4828 Info Loading Cardigann definition /app/Jackett/Definitions/btxpress.yml 
2018-11-20 06:27:29.4976 Info Loading Cardigann definition /app/Jackett/Definitions/carpathians.yml 
2018-11-20 06:27:29.5153 Info Loading Cardigann definition /app/Jackett/Definitions/ccfbits.yml 
2018-11-20 06:27:29.5320 Info Loading Cardigann definition /app/Jackett/Definitions/chdbits.yml 
2018-11-20 06:27:29.5537 Info Loading Cardigann definition /app/Jackett/Definitions/cinemageddon.yml 
2018-11-20 06:27:29.5726 Info Loading Cardigann definition /app/Jackett/Definitions/cinematik.yml 
2018-11-20 06:27:29.5954 Info Loading Cardigann definition /app/Jackett/Definitions/classix.yml 
2018-11-20 06:27:29.6103 Info Loading Cardigann definition /app/Jackett/Definitions/cpabien.yml 
2018-11-20 06:27:29.6231 Info Loading Cardigann definition /app/Jackett/Definitions/cztorrent.yml 
2018-11-20 06:27:29.6412 Info Loading Cardigann definition /app/Jackett/Definitions/datascene.yml 
2018-11-20 06:27:29.6566 Info Loading Cardigann definition /app/Jackett/Definitions/deildu.yml 
2018-11-20 06:27:29.6736 Info Loading Cardigann definition /app/Jackett/Definitions/diablotorrent.yml 
2018-11-20 06:27:29.6955 Info Loading Cardigann definition /app/Jackett/Definitions/downloadville.yml 
2018-11-20 06:27:29.7260 Info Loading Cardigann definition /app/Jackett/Definitions/dragonworldreloaded.yml 
2018-11-20 06:27:29.7482 Info Loading Cardigann definition /app/Jackett/Definitions/dreamteam.yml 
2018-11-20 06:27:29.7748 Info Loading Cardigann definition /app/Jackett/Definitions/dxdhd.yml 
2018-11-20 06:27:29.7952 Info Loading Cardigann definition /app/Jackett/Definitions/elitehd.yml 
2018-11-20 06:27:29.8108 Info Loading Cardigann definition /app/Jackett/Definitions/elitetorrent-biz.yml 
2018-11-20 06:27:29.8265 Info Loading Cardigann definition /app/Jackett/Definitions/elittracker.yml 
2018-11-20 06:27:29.8484 Info Loading Cardigann definition /app/Jackett/Definitions/empornium.yml 
